offense_type,incident_count,parent
BURGLARY OF VEHICLE,33211, 
FAMILY DISTURBANCE,31042, 
THEFT,26157, 
ASSAULT W/INJURY-FAM/DATE VIOL,17439, 
CRIMINAL MISCHIEF,16052, 
AUTO THEFT,9204, 
THEFT BY SHOPLIFTING,8757, 
DISTURBANCE - OTHER,8532, 
HARASSMENT,8300, 
ASSAULT BY CONTACT FAM/DATING,7908, 
DWI,6983, 
BURGLARY OF RESIDENCE,6013, 
BURGLARY NON RESIDENCE,5935, 
CRIMINAL TRESPASS,5338, 
POSS CONTROLLED SUB/NARCOTIC,5209, 
RUNAWAY CHILD,4728, 
THEFT OF BICYCLE,4315, 
FRAUD - OTHER,4140, 
ASSAULT BY THREAT,3964, 
POSSESSION OF MARIJUANA,3954, 
IDENTITY THEFT,3879, 
AGG ASSAULT FAM/DATE VIOLENCE,3833, 
PUBLIC INTOXICATION,3582, 
DATING DISTURBANCE,3185, 
CHILD CUSTODY INTERFERE,2993, 
POSS OF DRUG PARAPHERNALIA,2737, 
SUSPICIOUS PERSON,2735, 
TERRORISTIC THREAT,2671, 
CRED CARD ABUSE - OTHER,2405, 
DEBIT CARD ABUSE,2403, 
WARRANT ARREST NON TRAFFIC,2067, 
THEFT OF LICENSE PLATE,2038, 
FAMILY DISTURBANCE/PARENTAL,1944, 
CRASH/FAIL STOP AND RENDER AID,1874, 
AGG ASLT STRANGLE/SUFFOCATE,1764, 
AGG ROBBERY/DEADLY WEAPON,1734, 
FORGERY AND PASSING,1645, 
MAIL THEFT,1592, 
THEFT OF SERVICE,1565, 
THEFT FROM PERSON,1554, 
THEFT FROM AUTO,1368, 
DWI 2ND,1365, 
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,1229, 
DWI  .15 BAC OR ABOVE,1195, 
VIOL OF PROTECTIVE ORDER,1137, 
CUSTODY ARREST TRAFFIC WARR,1101, 
ROBBERY BY ASSAULT,1014, 
THEFT FROM BUILDING,942, 
VIOL CITY ORDINANCE - OTHER,921, 
CRIMINAL TRESPASS/TRANSIENT,814, 
GRAFFITI,784, 
DRIVING WHILE INTOX / FELONY,777, 
FELONY ENHANCEMENT/ASSLT W/INJ,777, 
UNLAWFUL CARRYING WEAPON,758, 
THEFT OF AUTO PARTS,712, 
FAILURE TO IDENTIFY,707, 
EVADING VEHICLE,682, 
DEADLY CONDUCT,658, 
DOC FIGHTING,657, 
THEFT OF TRAILER,656, 
EVADING / FOOT,620, 
VIOL OF EMERG PROTECTIVE ORDER,575, 
PROTECTIVE ORDER,563, 
DEL CONTROLLED SUB/NARCOTIC,556, 
DAMAGE CITY PROP,551, 
THEFT CATALYTIC CONVERTER,549, 
INDECENT EXPOSURE,544, 
CRUELTY TO ANIMALS,543, 
DAMAGE CITY VEHICLE,442, 
ASSAULT ON PUBLIC SERVANT,432, 
POSS OF FIREARM BY FELON,405, 
DOC DISCHARGE GUN - PUB PLACE,362, 
BREACH OF COMPUTER SECURITY,362, 
VIOL CITY ORDINANCE - WRECKER,360, 
INJURY TO CHILD,359, 
PUBLIC INTOX-SOBERING CENTER,352, 
RESISTING ARREST OR SEARCH,350, 
INJ TO ELDERLY   FAM/DATE VIOL,336, 
DWI - DRUG RECOGNITION EXPERT,335, 
ROBBERY BY THREAT,303, 
POSS SYNTHETIC MARIJUANA,302, 
VIOL STATE LAW - OTHER,300, 
RECKLESS DAMAGE,291, 
DOC EXPOSURE,280, 
DOC DISPLAY GUN/DEADLY PUB PLC,250, 
AGG ASSAULT WITH MOTOR VEH,249, 
EVADING / VEHICLE PURSUIT,242, 
CRED CARD ABUSE BY FORGERY,240, 
AIRPORT PLACES WEAPON PROHIBIT,239, 
POSS CONTROLLED SUB/SYN NARC,227, 
CRIMINAL TRESPASS/HOTEL,225, 
COUNTERFEITING,222, 
ONLINE IMPERSONATION,221, 
ARSON,207, 
BURGLARY OF COIN-OP MACHINE,201, 
FRAUD-CARD SKIMMER,199, 
POSS CONTROLLED SUB/OTHER,191, 
THEFT OF METAL,191, 
CHILD ENDANGERMENT- ABANDONMEN,189, 
FORGERY - OTHER,183, 
STALKING,180, 
PROSTITUTION,178, 
DOC WINDOW PEEPING-RESIDENCE,169, 
HARASSMENT OF A PUBLIC SERVANT,168, 
AGG ASLT ENHANC STRANGL/SUFFOC,165, 
FORGERY BY MAKING,161, 
RENTAL CAR/FAIL TO RETURN,156, 
DWI - CHILD PASSENGER,149, 
EXPLOSIVE ORDNANCE DISPOSAL,138, 
FALSE REPORT TO PEACE OFFICER,132, 
INTERFERING W/EMERG PHONE CALL,131, 
INJURY DISABLED INDIVIDUAL,131, 
FALSE ALARM OR REPORT,131, 
DOC DISCHARGE GUN - PUB ROAD,127, 
UNLAWFUL RESTRAINT,122, 
INDECENT ASSAULT,119, 
POSS/PROMO CHILD PORNOGRAPHY,117, 
VIOL CITY ORDINANCE - DOG,109, 
FEDERAL VIOL/OTHER,107, 
CRIMINAL TRESPASS/IN VEHICLE,104, 
POSS DANG DRUG,102, 
CIVIL DISTURBANCE/DEMO,101, 
POCKET PICKING,95, 
OBTAIN CONTROLLED SUB BY FRAUD,90, 
LIQUOR LAW VIOLATION/OTHER,88, 
ONLINE SOLICITATION OF A MINOR,88, 
VIOL OF BOND CONDITIONS,85, 
MURDER,85, 
TAMPERING WITH EVIDENCE,79, 
RETALIATION,73, 
CRIMINAL MISCHIEF BY ARSON,72, 
POSS OF PROHIBITED WEAPON,71, 
DUI - AGE 17 TO 20,69, 
ABUSE OF 911,69, 
DOC UNREASONABLE NOISE,67, 
INTERFERENCE PUBLIC DUTIES,66, 
BOMB THREAT,64, 
AGG ASSAULT ON PUBLIC SERVANT,62, 
FORGERY BY ALTERATION,62, 
CRASH/INTOXICATION ASSAULT,61, 
ASSAULT OF PREGNANT WM-FAM/DAT,61, 
THEFT OF HEAVY EQUIPMENT,59, 
NUISANCE ABATEMENT,59, 
DOC OFFENSIVE GESTURE,56, 
DOC ABUSIVE LANGUAGE,55, 
VIOL TEMP EX PARTE  ORDER,54, 
THEFT BY CHECK,52, 
URINATING IN PUBLIC PLACE,50, 
VOCO - ALCOHOL  CONSUMPTION,48, 
FRAUD DESTRUCTION OF A WRITING,45, 
VIOL CITY ORDINANCE - SOUND,44, 
AGG ROBBERY BY ASSAULT,43, 
PAROLE VIOL,42, 
SEXTING/TRANSMIT SEXUAL PHOTOS,41, 
PUBLIC LEWDNESS,41, 
THEFT BY EXTORTION,39, 
IMPERSONATING PUBLIC SERVANT,39, 
TAMPERING WITH GOV RECORD,37, 
FALSE STATEMENT -OBTAIN CREDIT,36, 
APPLIC TO REVOKE PROBATION,36, 
IDENTITY THEFT-TAX RETURNS,34, 
MISREP AGE BY MINOR,33, 
DEL CONTROLLED SUB/SYN NARC,33, 
THEFT- APPROPRIATE STOLEN PROP,32, 
MONEY LAUNDERING,31, 
DEL SYNTHETIC MARIJUANA,31, 
FORGERY OF IDENTIFICATION,30, 
LITTERING,30, 
HARBORING RUNAWAY CHILD,29, 
TAKE WEAPON FRM POLICE OFFICER,28, 
DUMPING REFUSE NEAR HIGHWAY,27, 
VIOL OF CAMPING ORDINANCE,27, 
WEAPON VIOL - OTHER,26, 
GAMBLING,25, 
POSS OF ALCOHOL - AGE 17 TO 20,25, 
DISTRIB HARMFUL MATERIAL MINOR,25, 
UNLAWFUL CARRY-LIC HOLDER,25, 
VIOL STAY AWAY ORDER,24, 
JUSTIFIED HOMICIDE,23, 
PROBATION VIOL,23, 
DOC ABUSE OR THREAT,23, 
INTERFERE W PO SERVICE ANIMALS,22, 
INHALANT ABUSE,22, 
THEFT BY FALSE PRETEXT/BUNCO,22, 
THEFT BY EMBEZZLEMENT,22, 
PROWLER,21, 
OBTAIN DANG DRUG BY FRAUD,21, 
CRED CARD ABUSE - EXPIR-CANCEL,21, 
ILLUMIN AIRCRAFT INTENSE LIGHT,20, 
VIOL CITY ORDINANCE -  GAME RM,20, 
PURSE SNATCHING,19, 
TRAFFICKING OF PERSONS,19, 
OBSCENE DISPLAY - DISTRIBUTION,19, 
VIOL CITY ORDINANCE - BOOTING,19, 
CRIMES AGAINST ELDERLY,19, 
SOLICITATION - BEGGING,18, 
MISAPPLY FIDUCIARY PROP,18, 
KIDNAPPING,18, 
HINDERING APPREHENSION,18, 
DEL MARIJUANA,18, 
POSS OF ALCOHOL-AGE 16 & UNDER,16, 
TAMPERING WITH CONSUMER PROD,16, 
HINDER SECURED CREDITORS,16, 
DISPOSAL OF SOLID WASTE,14, 
CAMPING IN PARK,14, 
FORGERY- CERTIFICATE OF TITLE,14, 
PROMOTION OF PROSTITUTION,13, 
SEXUAL COERCION,13, 
AGG PROMOTION OF PROSTITUTION,12, 
RIOT,12, 
CONTEMPT OF COURT,12, 
CAPITAL MURDER,11, 
CRASH/INTOX MANSLAUGHTER,11, 
RECKLESS CONDUCT,11, 
UCW LICENSE PREMISE,11, 
POSS CRIMINAL INSTRUMENT,10, 
AGG KIDNAPPING FAM VIO,10, 
DUI - AGE 16 AND UNDER,10, 
ESCAPE FROM CUSTODY,10, 
CRIMINAL SOLICITATION OF MINOR,9, 
TRUANCY,9, 
ISSUANCE OF BAD CHECK,9, 
SIT AND LIE ORDINANCE VIOL,9, 
MANSLAUGHTER,8, 
VIOL OF AGGRESSIVE CONFRONT,8, 
DEL CONTROLLED SUB/OTHER,8, 
VIOL OF PARK CURFEW,8, 
TELECOMMUNICATION CRIMES/OTHER,7, 
VIOL CITY ORDINANCE -FIREWORK,7, 
AIRPORT - BREACH OF SECURITY,7, 
SMUGGLING ILLEGAL ALIEN,7, 
KEEPING GAMBLING PLACE,7, 
SECURING EXEC-DOC BY DECEPTION,7, 
OFFICIAL OPPRESSION,6, 
CONTROLLED SUB VIOL - OTHER,6, 
MISUSE OF OFFICIAL INFO,6, 
MANF CONTROLLED SUB - OTHER,6, 
PIGEON DROP,6, 
FRAUD FILING FINANCE STATEMENT,5, 
GAMBLING PROMOTION,5, 
BOATING WHILE INTOXICATED,5, 
PURCHASING PROSTITUTION,5, 
VIOL OF OBSTRUCTION ORDINANCE,5, 
POSSESSION OF FORGED WRITING,4, 
STAY AWAY ORDER,4, 
COMPELLING PROSTITUTION,4, 
PERJURY,4, 
TRADEMARK COUNTERFEITING,4, 
TOBACCO VIOL - UNDER AGE 17,4, 
DISRUPTING MEETING/PROCESSION,3, 
VIOL CITY ORDINANCE - TITLE 10,3, 
DANG DRUG VIOL - OTHER,3, 
DEL OF ALCOHOL TO MINOR,3, 
MANF CONTROLLED SUB- SYN NARC,3, 
DOMESTIC VIOLENCE/ALARM,3, 
TAMPERING WITH ID NUMBER,3, 
DOC CREATING NOXIOUS ODOR,3, 
DISRUPTIVE ACTS AT SCHOOLS,3, 
ASSAULT - SCHOOL PERSONNEL,3, 
IMMIGRATION HOLD/ARREST,3, 
UNLAWFUL INTERCEPTION,3, 
CRIMINAL SOLICITATION,3, 
ABUSE OF CORPSE,2, 
POSS OF PRESCRIPTION FORM,2, 
MAKING TOBACCO AVAIL TO MINOR,2, 
FIREARMS ON SCHOOL PROP,2, 
FALSE REPORT TO CPS,2, 
THEFT BY PUBLIC SERVANT,2, 
FALSE ID AS A PEACE OFFICER,2, 
FALSE CALLER ID DISPLAY/SPOOF,2, 
DOC WINDOW PEEPING - HOTEL,2, 
THEFT OF TELECOMMUNICATION SRV,2, 
BANK KITING,2, 
VOCO AMPLIFIED MUSIC/VEHICLE,2, 
VOCO SOLICITATION PROHIBIT,2, 
PRACTICE MEDICINE W/OUT LICENS,1, 
VIOL CITY ORDINANCE - CURFEW,1, 
THEFT/TILL TAPPING,1, 
COMMUNICATING GAMBLING INFO,1, 
VIOL CITY ORDINANCE - SMOKING,1, 
COMMERCIAL BRIBERY,1, 
VIOL CITY ORDINANCE - TAXI,1, 
DEL OF DANG DRUG,1, 
BRIBERY,1, 
HAZING,1, 
TAMPERING WITH WITNESS,1, 
MANF SYNTHETIC MARIJUANA,1, 
BESTIALITY,1, 
POSS OF GAMBLING PARAPHERNALIA,1, 
OBSCENITY,1, 
OFFICIAL MISCONDUCT,1, 
BAIL JUMPING/FAIL TO APPEAR,1, 
SALE OR PURCHASE OF CHILD,1, 
VIOL STATE MASSAGE REGULATIONS,1, 
ARSON WITH BODILY INJURY,1, 
SALE OF LIQ WITHOUT PERMIT,1, 
AIDING SUICIDE,1, 
SALE OF DXM TO MINOR,1, 
CRIMINAL CONSPIRACY,1, 
CRIM NEG HOMICIDE/NON TRAFFIC,1, 
CRASH/NEGLIGENT HOMICIDE,1, 
